nid,ifid,raw_T,scbr,delta,flag
0,0, 297174900200000, 0.000000, 0.030000, 0
0,1, 297174900200000, 0.000000, 0.030000, 0
0,2, 297174900200000, 0.000000, 0.030000, 0
0,0, 297174900400000, 0.005840, 0.030000, 0
0,1, 297174900400000, 0.000000, 0.030000, 0
0,2, 297174900400000, 0.000000, 0.030000, 0
1,0, 297174900400000, 0.011680, 0.030000, 0
1,1, 297174900400000, 0.000000, 0.030000, 0
1,2, 297174900400000, 0.000000, 0.030000, 0
2,0, 297174900400000, 0.011680, 0.030000, 0
2,1, 297174900400000, 0.000000, 0.030000, 0
2,2, 297174900400000, 0.000000, 0.030000, 0
3,0, 297174900400000, 0.000000, 0.030000, 0
3,1, 297174900400000, 0.000000, 0.030000, 0
3,2, 297174900400000, 0.000000, 0.030000, 0
0,0, 297174900600000, 0.008240, 0.030000, 0
0,1, 297174900600000, 0.005840, 0.030000, 0
0,2, 297174900600000, 0.005840, 0.030000, 0
1,0, 297174900600000, 0.010900, 0.030000, 0
1,1, 297174900600000, 0.008760, 0.030000, 0
1,2, 297174900600000, 0.008760, 0.030000, 0
2,0, 297174900600000, 0.010900, 0.030000, 0
2,1, 297174900600000, 0.008760, 0.030000, 0
2,2, 297174900600000, 0.008760, 0.030000, 0
3,0, 297174900600000, 0.000000, 0.030000, 0
3,1, 297174900600000, 0.000000, 0.030000, 0
3,2, 297174900600000, 0.000000, 0.030000, 0
0,0, 297174900800000, 0.013560, 0.030000, 0
0,1, 297174900800000, 0.010220, 0.030000, 0
0,2, 297174900800000, 0.014600, 0.030000, 0
1,0, 297174900800000, 0.014890, 0.030000, 0
1,1, 297174900800000, 0.011680, 0.030000, 0
1,2, 297174900800000, 0.016060, 0.030000, 0
2,0, 297174900800000, 0.012230, 0.030000, 0
2,1, 297174900800000, 0.010220, 0.030000, 0
2,2, 297174900800000, 0.013140, 0.030000, 0
3,0, 297174900800000, 0.002660, 0.030000, 0
3,1, 297174900800000, 0.001460, 0.030000, 0
3,2, 297174900800000, 0.002920, 0.030000, 0
0,0, 297174901000000, 0.021540, 0.030000, 0
0,1, 297174901000000, 0.015330, 0.030000, 0
0,2, 297174901000000, 0.014600, 0.030000, 0
1,0, 297174901000000, 0.018085, 0.030000, 0
1,1, 297174901000000, 0.016060, 0.030000, 0
1,2, 297174901000000, 0.013870, 0.030000, 0
2,0, 297174901000000, 0.015555, 0.030000, 0
2,1, 297174901000000, 0.010950, 0.030000, 0
2,2, 297174901000000, 0.009490, 0.030000, 0
3,0, 297174901000000, 0.010770, 0.030000, 0
3,1, 297174901000000, 0.005110, 0.030000, 0
3,2, 297174901000000, 0.007300, 0.030000, 0
0,0, 297174901200000, 0.026730, 0.030000, 0
0,1, 297174901200000, 0.022265, 0.030000, 0
0,2, 297174901200000, 0.021900, 0.030000, 0
1,0, 297174901200000, 0.023543, 0.030000, 0
1,1, 297174901200000, 0.021170, 0.030000, 0
1,2, 297174901200000, 0.020075, 0.030000, 0
2,0, 297174901200000, 0.019357, 0.030000, 0
2,1, 297174901200000, 0.018615, 0.030000, 0
2,2, 297174901200000, 0.017885, 0.030000, 0
3,0, 297174901200000, 0.018425, 0.030000, 0
3,1, 297174901200000, 0.014235, 0.030000, 0
3,2, 297174901200000, 0.015330, 0.030000, 0
0,0, 297174901400000, 0.026405, 0.030000, 0
0,1, 297174901400000, 0.018433, 0.030000, 0
0,2, 297174901400000, 0.021170, 0.030000, 0
1,0, 297174901400000, 0.024811, 0.030000, 0
1,1, 297174901400000, 0.022265, 0.030000, 0
1,2, 297174901400000, 0.020257, 0.030000, 0
2,0, 297174901400000, 0.019799, 0.030000, 0
2,1, 297174901400000, 0.018068, 0.030000, 0
2,2, 297174901400000, 0.020622, 0.030000, 0
3,0, 297174901400000, 0.019333, 0.030000, 0
3,1, 297174901400000, 0.018797, 0.030000, 0
3,2, 297174901400000, 0.019345, 0.030000, 0
0,0, 297174901600000, 0.030622, 0.030000, 0
0,1, 297174901600000, 0.019436, 0.030000, 0
0,2, 297174901600000, 0.017885, 0.030000, 0
1,0, 297174901600000, 0.028366, 0.030000, 0
1,1, 297174901600000, 0.027192, 0.030000, 0
1,2, 297174901600000, 0.020349, 0.030000, 0
2,0, 297174901600000, 0.027319, 0.030000, 0
